Name,Category,Type,Age (Ma),Region,Country
Acraman,Hypervelocity Impact Crater,Crystalline,~541 - 635,South Australia,Australia
Agoudal,Hypervelocity Impact Crater,Sedimentary,<168.5,Draa-Tafilalet,Morocco
Alhama de Almería,Hypervelocity Impact Crater,Sedimentary,∼8 Ma,Almería,Spain
Amelia Creek,Hypervelocity Impact Crater,Mixed,660 - 1660,Northern Territory,Australia
Ames,Hypervelocity Impact Crater,Mixed,458 - 478,Oklahoma,United States of America
Amguid,Hypervelocity Impact Crater,Sedimentary,0.01 - 0.1,Tamanrasset,Algeria
Aorounga,Hypervelocity Impact Crater,Sedimentary,0.0035 - 383,Borkou,Chad
Aouelloul,Hypervelocity Impact Crater,Sedimentary,3.1 ± 0.3,Adrar,Mauritania
Araguainha,Hypervelocity Impact Crater,Mixed,248 - 264,Mato Grosso,Brazil
Avak,Hypervelocity Impact Crater,Sedimentary,90 - 94,Alaska,United States of America
B.P. Structure,Hypervelocity Impact Crater,Sedimentary,<120,Cyrenaica,Libya
Barringer,Hypervelocity Impact Crater,Sedimentary,0.0611 ± 0.0048,Arizona,United States of America
Beaverhead,Hypervelocity Impact Crater,Mixed,470 - 900,Montana,United States of America
Beyenchime-Salaatin,Hypervelocity Impact Crater,Sedimentary,1.8 - 66,Sakha,Russia
Bigach,Hypervelocity Impact Crater,Mixed,6 ± 3,East Kazakhstan,Kazakhstan
Bloody Creek,Hypervelocity Impact Crater,Crystalline,0.012 - 388,Nova Scotia,Canada
Boltysh,Hypervelocity Impact Crater,Crystalline,65.39 ± 0.14,Kirovograd,Ukraine
Bosumtwi,Hypervelocity Impact Crater,Crystalline,1.13 ± 0.10,Ashanti,Ghana
Brent,Hypervelocity Impact Crater,Crystalline,453.2 ± 6.0,Ontario,Canada
Calvin,Hypervelocity Impact Crater,Sedimentary,444 - 458,Michigan,United States of America
Carswell,Hypervelocity Impact Crater,Mixed,481.5 ± 0.8,Saskatchewan,Canada
Cerro do Jarau,Hypervelocity Impact Crater,Mixed,≤135,Rio Grande do Sul,Brazil
Charlevoix,Hypervelocity Impact Crater,Mixed,430 - 453,Quebec,Canada
Chesapeake Bay,Hypervelocity Impact Crater,Mixed,34.86 ± 0.32,Virginia,United States of America
Chicxulub,Hypervelocity Impact Crater,Mixed,66.038 ± 0.098,Yucatan,Mexico
Chiyli,Hypervelocity Impact Crater,Sedimentary,41 - 56,Aktobe,Kazakhstan
Chukcha,Hypervelocity Impact Crater,Mixed,<70,Taymyr,Russia
Cleanskin,Hypervelocity Impact Crater,Sedimentary,520 - 1400,Northern Territory,Australia
Clearwater East,Hypervelocity Impact Crater,Crystalline,460 - 470,Quebec,Canada
Clearwater West,Hypervelocity Impact Crater,Mixed,286.2 ± 2.6,Quebec,Canada
Cloud Creek,Hypervelocity Impact Crater,Sedimentary,166 - 227,Wyoming,United States of America
Colonia,Hypervelocity Impact Crater,Crystalline,2.5 - 36,São Paulo,Brazil
Connolly Basin,Hypervelocity Impact Crater,Sedimentary,23 - 66,Western Australia,Australia
Couture,Hypervelocity Impact Crater,Crystalline,429 ± 25,Quebec,Canada
Crooked Creek,Hypervelocity Impact Crater,Sedimentary,323 - 485,Missouri,United States of America
Decaturville,Hypervelocity Impact Crater,Mixed,< 323,Missouri,United States of America
Decorah,Hypervelocity Impact Crater,Sedimentary,464 - 467,Iowa,United States of America
Deep Bay,Hypervelocity Impact Crater,Crystalline,95 - 102,Saskatchewan,Canada
Dellen,Hypervelocity Impact Crater,Crystalline,140.82 ± 0.51,Gavleborgs,Sweden
Des Plaines,Hypervelocity Impact Crater,Sedimentary,<299,Illinois,United States of America
Dhala,Hypervelocity Impact Crater,Mixed,1700 - 2500,Madhya Pradesh,India
Dobele,Hypervelocity Impact Crater,Sedimentary,252 - 359,Dobele,Latvia
Douglas,Hypervelocity Impact Crater,Sedimentary,~280,Wyoming,United States of America
Eagle Butte,Hypervelocity Impact Crater,Sedimentary,<65,Alberta,Canada
El'gygytgyn,Hypervelocity Impact Crater,Crystalline,3.65 ± 0.08,Chukotka,Russia
Elbow,Hypervelocity Impact Crater,Sedimentary,201 - 393,Saskatchewan,Canada
Flaxman,Hypervelocity Impact Crater,Mixed,34 - 541,South Australia,Australia
Flynn Creek,Hypervelocity Impact Crater,Sedimentary,~382,Tennessee,United States of America
Steinheim,Hypervelocity Impact Crater,Crystalline,14.3 ± 0.2,Baden-Württemberg,Germany
Strangways,Hypervelocity Impact Crater,Crystalline,646 - 1000,Northern Territory,Australia
Suavjärvi,Hypervelocity Impact Crater,Crystalline,2400 - 2500,Karelia,Russia
Sudbury,Hypervelocity Impact Crater,Crystalline,1850 ± 1.0,Ontario,Canada
Suffield,Hypervelocity Impact Crater,Sedimentary,50 - 70,Alberta,Canada
Talemzane,Hypervelocity Impact Crater,Sedimentary,~2.5,Djelfa,Algeria
Ternovka,Hypervelocity Impact Crater,Crystalline,165 - 251,Kherson,Ukraine
Tien Shan,Hypervelocity Impact Crater,Crystalline,~550,Yunnan,China
Timmerhuber,Hypervelocity Impact Crater,Mixed,<70,Thuringia,Germany
Tok,Hypervelocity Impact Crater,Sedimentary,65 - 146,Tokushima,Japan
Tomat,Hypervelocity Impact Crater,Sedimentary,570 - 730,Gansu,China
Tookoonooka,Hypervelocity Impact Crater,Sedimentary,>122,Queensland,Australia
Torysh,Hypervelocity Impact Crater,Sedimentary,0.001 - 200,Qyzylorda,Kazakhstan
Tunnunik,Hypervelocity Impact Crater,Mixed,~430,Northwest Territories,Canada
Turtle,Hypervelocity Impact Crater,Sedimentary,429 ± 3,South Dakota,United States of America
Tyrone,Hypervelocity Impact Crater,Mixed,<100,Ohio,United States of America
Ulrikstrup,Hypervelocity Impact Crater,Mixed,410 - 420,North West,Jutland,Denmark
Upheaval Dome,Hypervelocity Impact Crater,Crystalline,<65,Utah,United States of America
Vargeão Dome,Hypervelocity Impact Crater,Mixed,220 ± 10,Santa Catarina, Brazil
Vasquez de Coronado,Hypervelocity Impact Crater,Mixed,<20,San Jose,Costa Rica
Velingara,Hypervelocity Impact Crater,Mixed,<140,Kolda,Senegal
Vista Alegre,Hypervelocity Impact Crater,Mixed,~115,Paraná,Brazil
Vredefort,Hypervelocity Impact Crater,Crystalline,2023 ± 4,Free State,South Africa
Wabar,Hypervelocity Impact Crater,Sedimentary,<0.002,Rub' al Khali,Saudi Arabia
Wanapitei,Hypervelocity Impact Crater,Sedimentary,37.2 ± 1.2,Ontario,Canada
Warburton Basin,Hypervelocity Impact Crater,Sedimentary,360 - 300,South Australia,Australia
Weaubleau,Hypervelocity Impact Crater,Mixed,330 - 335,Missouri,United States of America
Wells Creek,Hypervelocity Impact Crater,Crystalline,200 ± 100,Tennessee,United States of America
Wentang,Hypervelocity Impact Crater,Sedimentary,~546,Guizhou,China
Woodleigh,Hypervelocity Impact Crater,Mixed,364 ± 8,Western Australia,Australia
Xiuyan,Hypervelocity Impact Crater,Crystalline,<50,Liaoning,China
Yallalie,Hypervelocity Impact Crater,Mixed,70 - 83,Western Australia,Australia
Zapadnaya,Hypervelocity Impact Crater,Sedimentary,<65,Yakutia,Russia
Zhamanshin,Hypervelocity Impact Crater,Sedimentary,0.9 ± 0.1,Aktyubinsk,K
Zeleny Gai,Hypervelocity Impact Crater,Mixed,<80,Mykolaiv,Ukraine
Zhamanshin,Hypervelocity Impact Crater,Sedimentary,0.9 ± 0.1,Aktyubinsk,Kazakhstan
Zman,Hypervelocity Impact Crater,Sedimentary,<2.2,Meknassy,Tunisia
